Date,C,Confirmed,D,Death
9/21/2022,44553042,8031,528429,26
9/22/2022,44558425,5383,528449,20
9/23/2022,44563337,4912,528487,38
9/24/2022,44568114,4777,528510,23
9/25/2022,44572243,4129,528530,20
9/26/2022,44575473,3230,528562,32
9/27/2022,44579088,3615,528584,22
9/28/2022,44583360,4272,528611,27
9/29/2022,44587307,3947,528629,18
9/30/2022,44591112,3805,528655,26
10/1/2022,44594487,3375,528673,18
10/2/2022,44597498,3011,528701,28
10/3/2022,44599466,1968,528716,15
10/4/2022,44601892,2426,528733,17
10/5/2022,44604463,2571,528745,12
10/6/2022,44606460,1997,528754,9
10/7/2022,44609257,2797,528778,24
10/8/2022,44612013,2756,528799,21
10/9/2022,44614437,2424,528814,15
10/10/2022,44616394,1957,528822,8
10/11/2022,44616235,0,528835,13
10/12/2022,44621319,5084,528847,12
10/13/2022,44623997,2678,528857,10
10/14/2022,44626427,2430,528874,17
10/15/2022,44628828,2401,528895,21
10/16/2022,44630888,2060,528905,10
10/17/2022,44632430,1542,528913,8
10/18/2022,44634376,1946,528923,10
10/19/2022,44636517,2141,528943,20
10/20/2022,44638636,2119,528953,10
10/21/2022,44640748,2112,528957,4
10/22/2022,44642742,1994,528961,4
10/23/2022,44644076,1334,528977,16
10/24/2022,44644938,862,528980,3
10/25/2022,44645768,830,528981,1
10/26/2022,44646880,1112,528987,6
10/27/2022,44649088,2208,528999,12
10/28/2022,44650662,1574,529008,9
10/29/2022,44652256,1594,529016,8
10/30/2022,44653592,1336,529024,8
10/31/2022,44654638,1046,529077,53
11/1/2022,44655828,1190,530452,1375
11/2/2022,44655926,98,530461,9
11/3/2022,44658365,2439,530479,18
11/4/2022,44659447,1082,530486,7
11/5/2022,44660579,1132,530500,14
11/6/2022,44661504,925,530509,9
11/7/2022,44660293,0,530509,0
11/8/2022,44660293,0,530509,0
11/9/2022,44660293,0,530509,0
11/10/2022,44664810,4517,530520,11
11/11/2022,44665643,833,530528,8
11/12/2022,44666372,729,530531,3
11/13/2022,44666924,552,530532,1
11/14/2022,44667390,466,530533,1
11/15/2022,44667900,510,530535,2
11/16/2022,44668535,635,530546,11
