Date,C,Confirmed,D,Death
8/7/2022,31228322,8,144858,0
8/8/2022,31307020,78698,145028,170
8/9/2022,31379757,72737,145241,213
8/10/2022,31439645,59888,145394,153
8/11/2022,31489484,49839,145561,167
8/12/2022,31535343,45859,145698,137
8/13/2022,31535343,0,145698,0
8/14/2022,31535340,0,145698,0
8/15/2022,31599085,63745,145838,140
8/16/2022,31666475,67390,146030,192
8/17/2022,31725160,58685,146214,184
8/18/2022,31771884,46724,146383,169
8/19/2022,31808179,36295,146504,121
8/20/2022,31808179,0,146504,0
8/21/2022,31808228,49,146504,0
8/22/2022,31868639,60411,146650,146
8/23/2022,31921578,52939,146797,147
8/24/2022,31921578,0,146797,0
8/25/2022,32008122,86544,147003,206
8/26/2022,32041348,33226,147104,101
8/27/2022,32041349,1,147104,0
8/28/2022,32041350,1,147104,0
8/29/2022,32095854,54504,147223,119
8/30/2022,32095854,0,147223,0
8/31/2022,32184553,88699,147494,271
9/1/2022,32218483,33930,147642,148
9/2/2022,32247828,29345,147762,120
9/3/2022,32247828,0,147762,0
9/4/2022,32247828,0,147762,0
9/5/2022,32297537,49709,147861,99
9/6/2022,32344032,46495,147981,120
9/7/2022,32386089,42057,148098,117
9/8/2022,32422084,35995,148217,119
9/9/2022,32452250,30166,148299,82
9/10/2022,32452250,0,148299,0
9/11/2022,32452250,0,148299,0
9/12/2022,32507180,54930,148389,90
9/13/2022,32558479,51299,148498,109
9/14/2022,32604993,46514,148728,230
9/15/2022,32643742,38749,148845,117
9/16/2022,32680355,36613,148933,88
9/17/2022,32680356,1,148933,0
9/18/2022,32680356,0,148933,0
9/19/2022,32740593,60237,149079,146
9/20/2022,32797308,56715,149169,90
9/21/2022,32854286,56978,149275,106
9/22/2022,32905086,50800,149368,93
9/23/2022,32952050,46964,149458,90
9/24/2022,32952050,0,149458,0
9/25/2022,32952050,0,149458,0
9/26/2022,33041332,89282,149576,118
9/27/2022,33137143,95811,149714,138
9/28/2022,33216006,78863,149808,94
9/29/2022,33312373,96367,149948,140
9/30/2022,33386229,73856,150064,116
10/1/2022,33386229,0,150064,0
10/2/2022,33386229,0,150064,0
10/3/2022,33386229,0,150064,0
10/4/2022,33519761,133532,150192,128
10/5/2022,33652255,132494,150289,97
10/6/2022,33826367,174112,150406,117
10/7/2022,33948632,122265,150535,129
10/8/2022,33948632,0,150535,0
10/9/2022,33948632,0,150535,0
10/10/2022,34121168,172536,150720,185
10/11/2022,34257916,136748,150919,199
10/12/2022,34403129,145213,151095,176
10/13/2022,34517327,114198,151260,165
10/14/2022,34608835,91508,151420,160
10/15/2022,34608837,2,151420,0
10/16/2022,34608837,0,151420,0
10/17/2022,34758889,150052,151629,209
10/18/2022,34888963,130074,151877,248
10/19/2022,35005769,116806,152100,223
10/20/2022,35098062,92293,152278,178
10/21/2022,35172693,74631,152482,204
10/22/2022,35172694,1,152482,0
10/23/2022,35172694,0,152482,0
10/24/2022,35288228,115534,152755,273
10/25/2022,35383015,94787,152997,242
10/26/2022,35461920,78905,153193,196
10/27/2022,35523412,61492,153377,184
10/28/2022,35571130,47718,153544,167
10/29/2022,35571130,0,153544,0
10/30/2022,35571131,1,153544,0
10/31/2022,35619687,48556,153694,150
11/1/2022,35649648,29961,153814,120
11/2/2022,35728277,78629,154095,281
11/3/2022,35784912,56635,154328,233
11/4/2022,35823771,38859,154535,207
11/5/2022,35823771,0,154535,0
11/6/2022,35823771,0,154535,0
11/7/2022,35884834,61063,154785,250
11/8/2022,35932654,47820,155012,227
11/9/2022,35971322,38668,155187,175
11/10/2022,36005025,33703,155403,216
11/11/2022,36033394,28369,155588,185
11/12/2022,36033395,1,155588,0
11/13/2022,36033395,0,155588,0
11/14/2022,36080574,47179,155807,219
11/15/2022,36119184,38610,156030,223
11/16/2022,36152490,33306,156192,162
